Industry_of_Project,Employee_Count,team_size_grown,Number_of_Co_founders,customer_satisfaction_score,churn_rate,scalability_score,monthly_recurring_revenue,burn_rate,business_sustainability_score,User_Adoption_Rate,Revenue_Growth,Market_Competition,customer_acquisition_cost,Dependent_Project_Status,revenue_to_burn_ratio,revenue_per_employee,satisfaction_adoption_product,churn_competition_risk,growth_sustainability_score,team_growth_efficiency
Healthcare,110,2,2,8.49,0.015,72,69127,11661,79,0.923,13.18,2,86,1,5.927542445549649,622.7657657657658,7.836270000000001,0.03,18.3122,1.2455315315315316
Real Estate,13,1,1,3.43,0.307,46,14179,22664,40,0.252,-3.33,5,243,0,0.6255901169203618,1012.7857142857143,0.86436,1.535,2.668,1.0127857142857144
Human Resources,88,2,1,8.83,0.016,90,63378,20851,95,0.87,22.04,2,133,1,3.0394206790715517,712.1123595505618,7.6821,0.032,30.438,1.4242247191011237
Retail,165,3,2,9.2,0.029,86,75337,29211,78,0.91,21.72,1,85,1,2.578974394084623,453.83734939759034,8.372,0.029,24.7416,1.3615120481927712
Advertising,57,3,2,8.59,0.01,91,101077,8788,100,0.997,45.1,1,111,1,11.500398225054045,1742.7068965517242,8.56423,0.01,55.1,5.228120689655172
Advertising,16,0,2,2.89,0.393,24,13552,16677,39,0.174,-5.01,5,251,0,0.8125674541311908,797.1764705882352,0.50286,1.965,1.9461000000000002,0.0
Finance,45,1,1,6.04,0.355,28,12105,11390,59,0.126,-8.89,5,276,0,1.062681063997893,263.1521739130435,0.76104,1.775,0.6548999999999997,0.2631521739130435
Security,69,1,1,6.93,0.235,62,36059,15983,60,0.399,4.72,3,63,1,2.2559434434434436,515.1285714285714,2.76507,0.705,8.831999999999999,0.5151285714285714
Retail,98,3,3,7.72,0.02,66,54173,6249,91,0.764,12.83,3,116,1,8.66768,547.2020202020202,5.89808,0.06,20.775299999999998,1.6416060606060605
E-Commerce,101,2,2,7.89,0.034,93,67687,16635,65,0.942,11.34,2,63,1,4.068706419812455,663.5980392156863,7.432379999999999,0.068,13.870999999999999,1.3271960784313726
Manufacturing,50,3,2,7.64,0.032,61,76875,18529,79,0.846,6.68,1,103,1,4.148677819751754,1507.3529411764705,6.463439999999999,0.032,13.177200000000001,4.522058823529412
Real Estate,34,0,2,3.08,0.472,49,12079,14932,43,0.364,-4.65,3,238,0,0.8088796624924663,345.1142857142857,1.12112,1.416,2.3005,0.0
Security,82,3,2,8.57,0.039,85,75385,18358,82,0.919,13.26,3,111,1,4.106160466256332,908.2530120481928,7.8758300000000006,0.11699999999999999,19.0732,2.724759036144578
Music,14,0,1,2.74,0.238,36,13022,18024,35,0.225,-9.35,4,121,0,0.7224410540915396,868.1333333333333,0.6165,0.952,0.22750000000000015,0.0
Pharmaceuticals,22,0,1,4.18,0.333,32,10975,13198,44,0.252,-13.24,4,125,0,0.8315023865444352,477.17391304347825,1.0533599999999999,1.332,-1.4256,0.0
Finance,26,0,1,4.78,0.423,12,27237,34229,43,0.228,-9.52,4,507,0,0.7957055214723926,1008.7777777777778,1.0898400000000001,1.692,0.2064000000000002,0.0
Enterprise Software,49,4,1,7.84,0.028,83,91796,33952,65,0.859,6.98,3,100,1,2.703619709598563,1835.92,6.73456,0.084,11.037,7.34368
Human Resources,113,3,1,8.48,0.01,59,53171,11603,94,0.877,18.25,3,96,1,4.582126852809376,466.4122807017544,7.43696,0.03,26.555,1.3992368421052634
Advertising,80,3,2,8.64,0.01,76,48515,10574,88,0.89,25.51,1,82,1,4.5877068557919625,598.9506172839506,7.6896,0.01,31.248800000000006,1.7968518518518517
Gaming,7,1,1,2.85,0.397,53,7413,7209,40,0.435,-11.63,5,219,0,1.0281553398058252,926.625,1.2397500000000001,1.985,-0.6520000000000004,0.926625
Publishing,111,3,2,7.63,0.055,99,55052,19757,81,0.867,12.69,1,71,1,2.7863144042919323,491.5357142857143,6.61521,0.055,18.378899999999998,1.4746071428571428
Mobile,30,1,2,7.75,0.019,80,79667,29005,82,0.817,7.65,1,63,1,2.7465696752396056,2569.9032258064517,6.3317499999999995,0.019,14.472999999999999,2.569903225806452
E-Commerce,43,2,2,7.56,0.069,66,119936,31762,94,0.839,8.76,2,61,1,3.7759657463085983,2725.818181818182,6.34284,0.138,17.6344,5.451636363636364
Email,15,1,2,5.71,0.453,54,20876,23329,45,0.164,-4.53,3,220,0,0.8948135447921132,1304.75,0.93644,1.359,2.4614999999999996,1.30475
Finance,68,2,3,9.24,0.029,59,70833,34464,80,0.832,37.4,3,117,1,2.055215435949514,1026.5652173913043,7.687679999999999,0.08700000000000001,37.92,2.0531304347826085
Security,17,0,2,2.94,0.377,52,17475,22260,9,0.157,5.99,5,292,0,0.7850051659853555,970.8333333333334,0.46158,1.885,1.4391,0.0
Gaming,16,1,1,4.27,0.317,11,11003,14240,38,0.15,-10.46,4,297,0,0.7726283266624535,647.2352941176471,0.6405,1.268,-0.17480000000000032,0.647235294117647
Enterprise Software,11,0,1,2.24,0.197,61,12944,21237,44,0.258,0.5,3,113,0,0.6094735850833412,1078.6666666666667,0.5779200000000001,0.591,4.62,0.0
Retail,15,1,1,5.96,0.294,56,9453,15924,38,0.211,-4.22,4,388,0,0.5935949764521193,590.8125,1.25756,1.176,2.1964,0.5908125
Publishing,10,0,1,5.12,0.263,42,19336,31295,40,0.326,4.91,5,280,0,0.6178425357873211,1757.8181818181818,1.6691200000000002,1.315,5.9639999999999995,0.0
Food & Beverages,98,4,2,7.77,0.046,79,84025,22937,85,0.905,16.31,2,84,1,3.663135408492458,848.7373737373738,7.0318499999999995,0.092,22.3635,3.394949494949495
Hospitality,44,1,3,7.37,0.138,72,42885,28817,72,0.61,9.36,3,76,1,1.4881324172392254,953.0,4.4957,0.41400000000000003,13.939200000000001,0.953
Food & Beverages,13,0,1,5.06,0.172,24,10730,15387,55,0.276,-5.04,3,187,0,0.6972965947491552,766.4285714285714,1.39656,0.516,2.728,0.0
Security,12,0,1,6.21,0.329,65,11554,12992,28,0.192,-7.79,4,247,0,0.8892480566458862,888.7692307692307,1.19232,1.316,0.6187999999999999,0.0
Manufacturing,13,0,1,5.78,0.374,39,36889,57151,30,0.376,8.68,4,205,0,0.6454542273236282,2634.9285714285716,2.17328,1.496,5.604,0.0
Real Estate,37,0,2,5.29,0.394,43,19986,32489,48,0.253,-10.24,5,117,0,0.6151431209602954,525.9473684210526,1.33837,1.9700000000000002,-0.11520000000000011,0.0
Finance,52,3,1,8.9,0.035,82,73321,16013,90,0.854,24.82,2,83,1,4.578556263269639,1383.4150943396226,7.6006,0.07,31.338,4.150245283018868
Enterprise Software,22,0,2,4.61,0.199,30,12470,15070,33,0.265,-11.91,5,275,0,0.8274168933713755,542.1739130434783,1.2216500000000001,0.9950000000000001,-0.6303,0.0
Healthcare,14,1,1,5.15,0.232,26,19030,28483,33,0.258,-6.47,5,96,0,0.6680943687684314,1268.6666666666667,1.3287000000000002,1.1600000000000001,1.1649,1.2686666666666668
Music,9,1,1,5.55,0.322,41,7162,11378,40,0.205,-16.85,5,150,0,0.6294050443799982,716.2,1.1377499999999998,1.61,-2.7400000000000007,0.7162000000000001
Media,45,2,2,9.2,0.025,93,112248,31761,72,0.909,39.7,1,82,1,3.5340343807065047,2440.1739130434785,8.3628,0.025,35.784,4.880347826086957
Network Infrastructure,5,0,1,3.74,0.407,36,15766,20629,27,0.122,3.79,4,299,0,0.7642268540959767,2627.6666666666665,0.45628,1.628,3.7233,0.0
Software Development,40,4,2,7.55,0.046,73,131092,35867,79,0.889,34.69,2,52,1,3.654845544775287,3197.3658536585367,6.71195,0.092,35.305099999999996,12.789463414634147
Finance,11,0,2,3.07,0.358,47,7409,8203,40,0.112,-1.2,3,213,0,0.9030960507069722,617.4166666666666,0.34384,1.0739999999999998,3.52,0.0
Hospitality,20,0,2,4.06,0.26,28,24106,32253,22,0.206,2.59,4,206,0,0.7473801699014075,1147.904761904762,0.8363599999999999,1.04,2.7698,0.0
Security,26,0,1,3.32,0.377,28,20407,20945,29,0.177,-9.5,3,366,0,0.9742671631815144,755.8148148148148,0.5876399999999999,1.131,0.145,0.0
Energy,25,0,1,5.06,0.386,46,16498,16215,47,0.177,9.66,5,229,0,1.0173902318697583,634.5384615384615,0.8956199999999999,1.9300000000000002,9.2402,0.0
Enterprise Software,35,0,1,7.07,0.227,51,24268,21828,70,0.582,9.33,4,112,1,1.1117320995006643,674.1111111111111,4.11474,0.908,13.530999999999999,0.0
Finance,58,3,2,6.21,0.02,70,108079,31629,78,0.956,28.01,2,82,1,3.4169775529560544,1831.8474576271187,5.93676,0.04,29.647800000000004,5.495542372881356
Security,143,3,1,7.74,0.048,81,93139,6659,77,0.959,36.4,2,104,1,13.984834834834835,646.7986111111111,7.42266,0.096,35.727999999999994,1.9403958333333333
Transportation,55,1,1,5.89,0.223,68,17807,18025,60,0.633,2.69,3,80,1,0.9878508820592478,317.98214285714283,3.72837,0.669,7.614,0.3179821428571428
Hospitality,66,3,2,9.74,0.043,84,106156,13492,91,0.888,17.1,1,162,1,7.867486845030757,1584.4179104477612,8.64912,0.043,24.660999999999998,4.753253731343284
Cloud Computing,18,1,1,6.34,0.331,20,18937,19163,15,0.229,-17.47,5,110,0,0.9881548737215613,996.6842105263158,1.45186,1.655,-1.1204999999999998,0.9966842105263158
Career Services,48,1,1,6.86,0.207,52,16592,20151,66,0.462,10.09,2,118,1,0.8233425962683605,338.61224489795916,3.1693200000000004,0.414,13.259400000000001,0.33861224489795916
Security,29,0,2,7.12,0.135,71,34886,34269,66,0.497,3.2,3,119,0,1.0179749051648672,1162.8666666666666,3.53864,0.405,8.712,0.0
Media,15,1,2,6.12,0.336,15,9650,15022,44,0.203,-0.88,3,258,0,0.6423483991213472,603.125,1.2423600000000001,1.008,4.0127999999999995,0.603125
Food & Beverages,40,3,1,8.38,0.03,75,95796,26911,86,0.982,10.75,1,72,1,3.559601664684899,2336.487804878049,8.22916,0.03,17.845,7.009463414634147
Human Resources,50,3,2,7.83,0.026,85,60083,21528,101,0.878,24.22,1,91,1,2.7907938129964234,1178.0980392156862,6.87474,0.026,34.5622,3.5342941176470584
Transportation,100,2,2,8.11,0.03,79,63036,17984,69,0.894,11.71,3,111,1,3.5049207673060883,624.1188118811881,7.25034,0.09,14.9799,1.2482376237623762
Cloud Computing,99,2,2,8.39,0.049,96,53289,7086,64,0.909,10.32,1,102,1,7.519260618033019,532.89,7.626510000000001,0.049,13.0048,1.06578
Enterprise Software,103,1,3,7.67,0.045,80,91995,17500,91,0.91,41.63,2,67,1,5.256556768184675,884.5673076923077,6.9797,0.09,46.9833,0.8845673076923077
Career Services,70,3,3,7.22,0.043,78,82660,11641,68,0.97,10.3,1,98,1,7.100154612609518,1164.225352112676,7.003399999999999,0.043,13.804,3.4926760563380284
Mobile,68,3,2,9.41,0.01,100,59825,21782,86,0.852,21.44,2,79,1,2.7464077491621905,867.0289855072464,8.01732,0.02,27.038400000000003,2.601086956521739
Hospitality,140,2,3,7.34,0.031,75,73114,23015,94,0.947,22.52,1,52,1,3.176659714980883,518.5390070921986,6.9509799999999995,0.031,30.568799999999996,1.0370780141843972
Music,74,4,2,8.53,0.049,60,142553,32224,70,0.966,47.06,1,74,1,4.4236772692009305,1900.7066666666667,8.23998,0.049,39.942,7.602826666666667
Analytics,35,2,2,9.1,0.085,70,159042,46546,75,0.988,30.64,1,135,1,3.4168045201624166,4417.833333333333,8.9908,0.085,30.48,8.835666666666667
Transportation,77,3,3,8.43,0.024,87,77970,14431,89,0.841,28.94,2,58,1,5.4025776053215075,999.6153846153846,7.08963,0.048,34.6566,2.998846153846154
Enterprise Software,55,3,2,7.41,0.048,87,87945,30674,84,0.929,11.58,1,73,1,2.866992665036675,1570.4464285714287,6.88389,0.048,18.1272,4.711339285714287
Pharmaceuticals,34,1,1,3.61,0.471,31,20279,30200,52,0.204,2.89,5,141,0,0.671467832190987,579.4,0.7364399999999999,2.355,6.7028,0.5794
Manufacturing,7,0,1,2.95,0.34,22,18106,20913,22,0.139,11.23,5,244,0,0.8657358707086162,2263.25,0.4100500000000001,1.7000000000000002,4.6706,0.0
Publishing,73,2,3,8.24,0.028,88,97157,11448,85,0.91,9.81,2,52,1,8.486068652284041,1312.9324324324325,7.4984,0.056,16.8385,2.625864864864865
Network Infrastructure,73,2,2,8.21,0.03,73,69008,23598,64,0.988,26.14,2,58,1,2.9241917030382645,932.5405405405405,8.11148,0.06,23.1296,1.865081081081081
Network Infrastructure,54,0,3,5.85,0.124,74,21926,15822,52,0.531,3.77,4,83,0,1.3857043544207799,398.6545454545454,3.10635,0.496,7.160399999999999,0.0
Analytics,47,2,2,7.19,0.028,95,139955,31323,64,0.845,33.93,3,92,1,4.467979823777295,2915.7291666666665,6.07555,0.084,28.1152,5.831458333333333
Music,80,2,1,7.1,0.035,90,73413,9262,68,0.95,22.54,2,75,1,7.925402137536436,906.3333333333334,6.744999999999999,0.07,22.1272,1.8126666666666666
Mobile,35,1,3,7.44,0.19,50,36349,12414,58,0.528,-0.3,3,97,1,2.9278292388240033,1009.6944444444445,3.9283200000000003,0.5700000000000001,5.6259999999999994,1.0096944444444444
Email,48,4,2,9.01,0.053,84,85303,6183,84,0.84,19.54,2,45,1,13.794146183699871,1740.8775510204082,7.5684,0.106,24.8136,6.963510204081633
Analytics,84,3,2,7.14,0.024,71,84583,40968,93,0.88,29.12,1,119,1,2.0645610095438016,995.0941176470589,6.2832,0.024,36.381600000000006,2.9852823529411765
Manufacturing,116,4,2,8.62,0.042,78,87917,53661,87,0.951,41.24,1,85,1,1.6383474339383548,751.4273504273505,8.197619999999999,0.042,44.5788,3.0057094017094017
Real Estate,56,4,1,9.3,0.013,87,74571,16214,96,0.926,13.49,3,85,1,4.598889916743755,1308.2631578947369,8.6118,0.039,22.5504,5.233052631578947
Analytics,52,3,2,7.57,0.024,75,38791,12883,87,0.936,14.78,3,113,1,3.0107885749767154,731.9056603773585,7.085520000000001,0.07200000000000001,21.558600000000002,2.1957169811320756
Transportation,10,0,1,6.83,0.273,44,8414,12665,29,0.157,15.55,5,307,0,0.6642981209537344,764.9090909090909,1.07231,1.3650000000000002,7.4095,0.0
Pharmaceuticals,15,0,2,4.96,0.247,19,27288,44108,39,0.224,-2.34,5,160,0,0.6186492552540298,1705.5,1.11104,1.2349999999999999,2.9874,0.0
Cloud Computing,11,0,1,5.56,0.171,52,10218,12185,50,0.356,1.03,4,122,0,0.8385032003938946,851.5,1.9793599999999998,0.684,5.515,0.0
Healthcare,31,0,1,5.54,0.45,35,8594,8606,28,0.192,0.92,5,228,0,0.9984896014871616,268.5625,1.06368,2.25,3.0576,0.0
Email,103,3,2,8.28,0.018,91,61654,35528,69,0.925,8.75,2,52,1,1.735314813251147,592.8269230769231,7.659,0.036,12.9375,1.7784807692307694
Marketing,37,1,1,3.24,0.272,32,35753,59907,38,0.143,6.29,4,249,0,0.5967984242505174,940.8684210526316,0.46332,1.088,6.1902,0.9408684210526316
Transportation,28,1,1,4.33,0.198,63,8837,8464,57,0.391,6.93,3,248,0,1.0439456585942115,304.7241379310345,1.69303,0.5940000000000001,9.6501,0.3047241379310345
Finance,10,0,1,3.64,0.242,64,11166,17952,32,0.13,-0.77,3,335,0,0.6219573330362613,1015.0909090909091,0.4732,0.726,2.9536000000000002,0.0
Security,6,0,2,4.37,0.464,14,9500,9599,36,0.249,-2.26,3,222,0,0.9895833333333334,1357.142857142857,1.08813,1.3920000000000001,2.7864,0.0
Hospitality,80,2,2,10.05,0.013,66,119587,22547,83,0.824,21.91,1,93,1,5.303663296079475,1476.3827160493827,8.2812,0.013,26.485300000000002,2.9527654320987655
Finance,12,0,2,2.92,0.266,39,23147,30050,19,0.128,-4.32,5,129,0,0.7702572293767262,1780.5384615384614,0.37376,1.33,1.0792,0.0
Education,107,2,3,7.76,0.01,86,81015,14445,81,0.769,24.62,1,58,1,5.608126817112003,750.1388888888889,5.96744,0.01,28.0422,1.5002777777777778
E-Commerce,11,1,2,4.77,0.43,41,21280,27157,13,0.106,-11.08,4,176,0,0.783562854407541,1773.3333333333333,0.50562,1.72,-0.1404,1.7733333333333332
Human Resources,92,3,1,8.66,0.011,90,85640,30061,92,0.961,13.61,2,87,1,2.8487791896746724,920.8602150537635,8.32226,0.022,21.7212,2.7625806451612904
Real Estate,17,1,2,7.01,0.352,27,9142,13010,18,0.108,2.62,4,157,0,0.7026362308815618,507.8888888888889,0.75708,1.408,2.2716000000000003,0.507888888888889
Enterprise Software,56,2,2,6.09,0.045,72,115415,41596,89,0.924,29.42,2,96,1,2.7745991297449337,2024.8245614035088,5.62716,0.09,35.083800000000004,4.0496491228070175
Education,69,3,1,8.96,0.053,67,67522,8397,94,0.848,43.1,3,108,1,8.040247678018575,964.6,7.59808,0.159,49.91400000000001,2.8938
Retail,70,2,2,8.26,0.028,81,50515,27419,90,0.847,14.98,3,96,1,1.8422684172137127,711.4788732394367,6.996219999999999,0.084,22.482,1.4229577464788734
Network Infrastructure,36,3,3,7.85,0.023,84,146231,68492,75,0.951,23.58,1,178,1,2.134977296950053,3952.189189189189,7.465349999999999,0.023,25.185,11.856567567567566
Network Infrastructure,5,1,1,3.59,0.339,51,14702,24218,43,0.166,2.8,3,172,0,0.6070440563194186,2450.3333333333335,0.59594,1.0170000000000001,5.504,2.4503333333333335
Career Services,142,3,1,8.13,0.04,87,76515,25784,99,0.947,18.02,1,215,1,2.9674229203025013,535.06993006993,7.69911,0.04,27.7398,1.6052097902097902
Gaming,68,3,2,8.96,0.038,76,58159,20916,89,0.833,33.97,2,72,1,2.7804656499498015,842.8840579710145,7.46368,0.076,39.1333,2.5286521739130436
Email,73,3,2,7.58,0.023,93,58790,16859,77,0.939,15.34,1,71,1,3.4869513641755634,794.4594594594595,7.11762,0.023,19.5118,2.3833783783783784
Hospitality,6,0,1,5.69,0.221,35,11104,14205,32,0.231,-0.34,4,311,0,0.7816415599042658,1586.2857142857142,1.3143900000000002,0.884,3.0912,0.0
Food & Beverages,50,2,1,8.23,0.036,77,117489,61123,92,0.791,16.9,3,75,1,1.9221418755317061,2303.705882352941,6.509930000000001,0.10799999999999998,24.747999999999998,4.607411764705882
Software Development,59,3,2,6.78,0.018,82,91344,7821,79,0.968,11.69,1,58,1,11.677831756583993,1522.4,6.56304,0.018,17.135099999999998,4.567200000000001
Human Resources,10,0,1,3.73,0.325,49,21294,18230,41,0.381,3.07,3,287,0,1.1680105315122593,1935.8181818181818,1.42113,0.9750000000000001,5.3587,0.0
Analytics,75,2,2,7.8,0.026,84,69534,24040,73,0.948,23.62,2,76,1,2.892308972172539,914.921052631579,7.394399999999999,0.052,24.542600000000004,1.829842105263158
E-Commerce,56,3,3,7.32,0.072,88,87568,25840,88,0.897,14.66,1,65,1,3.3887233466197126,1536.280701754386,6.56604,0.072,21.7008,4.608842105263158
Retail,58,4,2,7.95,0.022,88,91606,15340,79,0.818,26.24,2,83,1,5.971318688481846,1552.6440677966102,6.5031,0.044,28.629599999999996,6.210576271186441
Hospitality,11,1,1,5.45,0.23,48,12752,12128,39,0.359,2.05,4,207,0,1.051364498309836,1062.6666666666667,1.95655,0.92,4.6995000000000005,1.0626666666666666
Analytics,123,2,2,7.81,0.057,68,95687,15695,71,0.921,29.82,1,80,1,6.096266564729867,771.6693548387096,7.19301,0.057,28.272199999999998,1.5433387096774194
Enterprise Software,70,4,3,7.43,0.018,91,49744,12940,65,0.91,23.62,2,55,1,3.8439069623676687,700.6197183098592,6.7613,0.036,21.853,2.8024788732394366
Healthcare,81,1,3,8.51,0.014,70,76263,18827,99,0.887,27.24,1,164,1,4.05050987890376,930.0365853658536,7.54837,0.014,36.867599999999996,0.9300365853658537
Career Services,29,0,1,5.22,0.439,49,7288,9961,42,0.308,-10.23,4,212,0,0.731580004015258,242.93333333333334,1.6077599999999999,1.756,-0.09660000000000019,0.0
Human Resources,10,0,2,5.32,0.356,39,11353,17804,12,0.235,4.5,4,240,0,0.6376298792474024,1032.090909090909,1.2502,1.424,1.74,0.0
E-Commerce,103,1,1,9.12,0.049,87,74714,10163,79,0.974,24.84,3,48,1,7.350846123573397,718.4038461538462,8.882879999999998,0.14700000000000002,27.523600000000002,0.7184038461538462
Manufacturing,110,2,2,9.14,0.01,63,85696,22535,77,0.932,10.91,1,68,1,3.802626908058218,772.0360360360361,8.51848,0.01,16.1007,1.5440720720720722
Food & Beverages,75,2,2,7.75,0.012,73,95916,18235,87,0.931,7.49,1,64,1,5.2597060758938365,1262.0526315789473,7.21525,0.012,15.2163,2.5241052631578946
Real Estate,10,1,2,4.98,0.188,25,18684,19887,32,0.176,13.23,5,252,0,0.9394609814963797,1698.5454545454545,0.87648,0.94,7.4336,1.6985454545454546
Education,81,3,2,9.78,0.039,86,76627,16704,89,0.968,20.59,2,90,1,4.587069739598922,934.4756097560976,9.467039999999999,0.078,27.225099999999998,2.8034268292682927
Manufacturing,14,0,1,3.79,0.213,9,10524,10630,45,0.108,0.3,5,140,0,0.9899350954754962,701.6,0.40932,1.065,4.635000000000001,0.0
Energy,95,4,1,8.67,0.01,85,106096,35792,72,0.937,31.3,2,114,1,2.964155002374766,1105.1666666666667,8.12379,0.02,29.736,4.420666666666667
Advertising,97,3,1,9.79,0.04,91,62929,20220,95,0.907,11.36,2,82,1,3.1120617180159242,642.1326530612245,8.879529999999999,0.08,20.292,1.9263979591836733
Enterprise Software,8,1,1,3.49,0.311,25,17221,19804,26,0.217,-4.34,4,111,0,0.8695278969957082,1913.4444444444443,0.7573300000000001,1.244,1.4716,1.9134444444444443
Cloud Computing,61,0,3,6.22,0.208,52,33404,12523,72,0.584,-1.62,2,65,0,2.6671989779623124,538.7741935483871,3.6324799999999997,0.416,6.033599999999999,0.0
Manufacturing,8,0,2,5.79,0.425,21,22023,30263,34,0.181,-17.32,3,222,0,0.7276962727993656,2447.0,1.04799,1.275,-2.4888,0.0
Pharmaceuticals,11,0,2,1.52,0.42,41,17696,17503,24,0.15,-2.11,4,228,0,1.0109689213893966,1474.6666666666667,0.22799999999999998,1.68,1.8936000000000002,0.0
Human Resources,5,1,1,5.29,0.348,25,4942,7612,28,0.271,4.82,5,340,0,0.6491527650072245,823.6666666666666,1.4335900000000001,1.7399999999999998,4.1496,0.8236666666666667
Analytics,68,4,1,8.87,0.021,67,70273,12073,100,0.953,43.99,1,181,1,5.820192148418088,1018.4492753623189,8.453109999999999,0.021,53.99,4.0737971014492755
Software Development,88,2,3,9.23,0.014,79,139879,28966,87,0.842,10.4,2,84,1,4.828908758242138,1571.6741573033707,7.77166,0.028,17.748,3.1433483146067416
Pharmaceuticals,92,3,1,7.3,0.01,80,64721,17365,91,0.96,13.7,2,81,1,3.726880110560866,695.9247311827957,7.008,0.02,21.566999999999997,2.0877741935483867
Email,16,0,2,4.97,0.36,42,18994,24783,17,0.182,2.05,3,231,0,0.7663815364751453,1117.2941176470588,0.9045399999999999,1.08,2.0485,0.0
Energy,12,0,1,5.68,0.288,40,15029,25986,47,0.313,-8.82,4,312,0,0.5783276253511371,1156.076923076923,1.7778399999999999,1.152,0.5545999999999999,0.0
Real Estate,79,2,2,9.55,0.01,66,89375,35318,82,0.9,20.61,3,105,1,2.530507658767236,1117.1875,8.595,0.03,25.1002,2.234375
Healthcare,65,3,2,8.74,0.018,75,171069,34099,87,0.917,36.64,3,171,1,5.016686217008798,2591.9545454545455,8.01458,0.05399999999999999,40.5768,7.775863636363636
Energy,53,3,1,8.23,0.04,75,69609,26897,94,0.95,31.52,3,49,1,2.587887575284408,1289.0555555555557,7.8185,0.12,39.0288,3.867166666666667
Network Infrastructure,97,2,3,7.32,0.049,99,94432,18246,78,0.923,20.79,1,90,1,5.175206883323286,963.5918367346939,6.756360000000001,0.049,24.016199999999998,1.9271836734693877
Marketing,69,3,2,7.26,0.024,100,86449,38253,89,0.95,36.36,1,119,1,2.2598682490719924,1234.9857142857143,6.896999999999999,0.024,41.2604,3.7049571428571424
Energy,5,0,1,4.51,0.269,19,11946,13706,41,0.139,-1.22,3,269,0,0.8715254979207704,1991.0,0.6268900000000001,0.807,3.5997999999999997,0.0
E-Commerce,69,3,2,8.53,0.01,67,89536,32346,87,0.871,23.48,2,104,1,2.7679846662750798,1279.0857142857142,7.4296299999999995,0.02,29.1276,3.8372571428571427
Analytics,153,3,2,7.98,0.051,71,114231,37165,86,0.924,30.3,2,59,1,3.073534951299575,741.7597402597403,7.373520000000001,0.102,34.657999999999994,2.2252792207792207
Real Estate,48,2,1,6.98,0.134,62,34571,34791,71,0.55,4.22,3,61,1,0.9936479650494366,705.530612244898,3.8390000000000004,0.402,10.0962,1.411061224489796
E-Commerce,6,1,1,4.79,0.378,50,13021,13243,44,0.138,-7.68,4,111,0,0.9831621866505588,1860.142857142857,0.66102,1.512,1.0208000000000002,1.860142857142857
E-Commerce,66,3,1,8.7,0.056,80,69369,24061,90,0.98,19.08,2,84,1,2.8829274374532456,1035.358208955224,8.526,0.112,26.171999999999997,3.1060746268656723
Human Resources,13,0,2,4.94,0.35,64,6182,6813,23,0.165,-11.13,4,140,0,0.9072497798649839,441.57142857142856,0.8151000000000002,1.4,-0.2599000000000002,0.0
Cloud Computing,38,1,2,8.6,0.071,82,60481,19912,96,0.948,13.99,2,101,1,3.0372620900919,1550.7948717948718,8.1528,0.142,23.0304,1.5507948717948719
Gaming,10,0,1,7.01,0.483,51,11606,12275,35,0.132,-18.61,4,235,0,0.9454219615509938,1055.090909090909,0.92532,1.932,-3.0134999999999996,0.0
Food & Beverages,64,3,2,8.23,0.055,75,106556,46700,101,0.951,20.18,1,99,1,2.2816642041926296,1639.323076923077,7.82673,0.055,30.4818,4.9179692307692315
Music,35,3,2,8.5,0.031,83,69439,30119,81,0.806,20.0,1,57,1,2.3054116865869854,1928.861111111111,6.851000000000001,0.031,24.3,5.786583333333333
Retail,30,0,1,4.37,0.405,45,11185,9888,35,0.212,-14.63,3,119,0,1.1310547072504804,360.80645161290323,0.92644,1.215,-1.6205000000000005,0.0
Transportation,91,1,2,7.89,0.011,66,136281,56130,74,0.811,10.26,1,135,1,2.4279097112112735,1481.3152173913043,6.39879,0.011,14.992399999999998,1.4813152173913042
Human Resources,28,0,1,3.48,0.211,11,10807,13575,30,0.232,-6.64,3,168,0,0.7960371243370654,372.6551724137931,0.8073600000000001,0.633,1.008,0.0
Cloud Computing,7,0,1,5.03,0.472,31,5865,5405,20,0.181,3.4,3,151,0,1.0849056603773586,733.125,0.91043,1.416,2.68,0.0
Network Infrastructure,26,0,2,5.2,0.4,32,20128,20613,42,0.213,8.82,3,198,0,0.9764237896575143,745.4814814814815,1.1076,1.2000000000000002,7.904400000000001,0.0
Human Resources,26,0,3,6.62,0.247,70,32617,22535,60,0.457,-2.57,4,88,0,1.4473287184948527,1208.037037037037,3.0253400000000004,0.988,4.457999999999999,0.0
Food & Beverages,12,0,1,5.14,0.186,32,23240,34327,26,0.122,-9.88,5,194,0,0.6769983686786297,1787.6923076923076,0.62708,0.9299999999999999,0.031199999999999797,0.0
Security,16,0,1,5.83,0.246,31,24350,38145,39,0.17,-0.54,5,149,0,0.638336916059351,1432.3529411764705,0.9911000000000001,1.23,3.6894000000000005,0.0
Human Resources,63,1,1,9.01,0.078,100,57409,18296,86,0.816,22.59,2,105,1,3.137618188774116,897.015625,7.35216,0.156,28.027400000000004,0.897015625
Publishing,17,1,2,4.17,0.326,59,15594,18212,60,0.238,-7.73,5,247,0,0.8562016142315928,866.3333333333334,0.9924599999999999,1.6300000000000001,1.3619999999999999,0.8663333333333334
Human Resources,12,0,1,3.41,0.337,65,8190,14161,15,0.224,1.81,4,223,0,0.5783081485665866,630.0,0.7638400000000001,1.348,1.7715,0.0
